mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,id,S07,S07T,S18B,S22,MOZT1,geos_chem_species
56.0,C4H8,Trans-2-butene,NMOC_g,0.0137,0.0276,0.029,0.042,0.1466,0.0117,,0.0423,0.0837,,,0.025,0.0347,0.1102,3.0,3.0,4.0,11.0,3.0,3.0,0.0,4.0,7.0,0.0,0.0,1.0,7.0,2.0,0.006,0.0205,0.0191,0.0346,0.1248,0.0004,,0.0454,0.0571,,,,0.016,0.0873,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+",OLE2,OLE2,OLE2,OLE2,BIGENE,
56.0,C4H8,Cis-2-butene,NMOC_g,0.0116,0.0204,0.0244,0.0341,0.1166,0.0105,,0.0274,0.0575,,,0.02,0.0302,0.0972,3.0,3.0,4.0,11.0,3.0,3.0,0.0,5.0,7.0,0.0,0.0,1.0,7.0,2.0,0.0057,0.0094,0.014,0.0262,0.0993,0.0012,,0.0349,0.0352,,,,0.0192,0.0661,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3-",OLE2,OLE2,OLE2,OLE2,BIGENE,
56.0,C4H8,1-butene,NMOC_g,0.0797,0.1825,0.0785,0.1632,0.4711,0.0847,0.1504,0.239,0.2187,,,0.085,0.0924,0.6437,4.0,4.0,4.0,12.0,4.0,4.0,1.0,7.0,7.0,0.0,0.0,1.0,8.0,3.0,0.0439,0.094,0.0603,0.1032,0.2957,0.0442,,0.4971,0.1096,,,,0.0264,0.3719,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",OLE1,OLE1,OLE1,OLE1,BIGENE,
56.0,C4H8,I-butene,NMOC_g,0.072,0.0847,0.11,0.1221,0.584,0.0414,,0.3747,0.1718,,,0.055,0.1567,0.3607,2.0,3.0,2.0,11.0,3.0,3.0,0.0,5.0,7.0,0.0,0.0,1.0,7.0,2.0,0.0679,0.0291,0.0283,0.1029,0.4946,0.0395,,0.704,0.107,,,,0.187,0.3738,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",OLE2,OLE2,OLE3,OLE3,BIGENE,
56.0,C3H4O,Acrolein,NMOC_g,1.1276,0.4825,0.65,0.5917,0.2472,0.4686,0.21,0.1653,0.4883,,,,0.6282,0.4214,2.0,3.0,1.0,12.0,3.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,11.0,2.0,0.3711,0.3377,,0.3023,0.1783,0.181,,0.0732,0.4326,,,,0.4791,0.0557,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",MACR,ACRO,ACRO,ACRO,BIGENE,
57.0,C2H3NO,Methyl isocyanate + hydroxyacetonitrile,NMOC_g,,,,0.0271,0.0299,0.0046,,,0.0668,,,,0.0252,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0085,,,,,,,,,,,57.02086_C2H3NO,NROG,NROG,NROG,NROG,NROG,
57.0,C2H3NO,Hydroxy acetonitrile,NMOC_g,,0.0035,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C2H3NO/c3-1-2-4/h4H,2H2",ALK5,ALK5,OTH3,ALK6,BIGALK,
57.0,C3H7N,Propeneamines,NMOC_g,,,,0.0116,0.0039,0.0008,,,0.0271,,,,0.0069,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0094,,,,,,,,,,,57.05726_C3H7N,ALK5,ALK5,AMINS,AMINS,C3H6,
58.0,C4H10,Butane,NMOC_g,0.0313,0.0952,0.0377,0.1046,1.0505,0.0759,,0.561,0.1286,,,0.02,0.0538,0.3499,3.0,4.0,3.0,13.0,2.0,3.0,0.0,4.0,6.0,0.0,0.0,1.0,6.0,2.0,0.0266,0.0476,0.0214,0.1163,1.0317,0.0555,,1.0662,0.091,,,,0.0185,0.2307,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",ALK3,ALK3,NC4,NC4,BIGALK,
58.0,C4H10,I-butane,NMOC_g,0.0068,0.0402,0.0113,0.0475,0.4626,0.0182,,0.1603,0.0754,,,0.007,0.0188,0.0721,3.0,2.0,3.0,11.0,2.0,2.0,0.0,5.0,6.0,0.0,0.0,1.0,6.0,2.0,0.0045,0.0272,0.0081,0.0654,0.5253,0.0045,,0.3268,0.0607,,,,0.0062,0.0705,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",ALK3,ALK3,ALK3,ALK3,BIGALK,
58.0,C3H6O,2-propen-1-ol,NMOC_g,,0.0221,,0.015,,,,,,,,,0.0066,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",OLE1,OLE1,OLEP,OLEP,BIGENE,
58.0,C3H6O,Propanal,NMOC_g,0.419,0.013,0.1,0.1785,0.0387,0.1584,,,,,,0.082,0.2068,0.1557,1.0,1.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,,,,0.1144,,0.087,,,,,,,0.1479,,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",RCHO,RCHO,ETCHO,ETCHO,BIGALK,
58.0,C3H6O,Acetone,NMOC_g,0.5144,0.73,0.63,0.6357,0.9264,0.3238,,0.3087,1.5118,,,0.525,0.5011,0.9207,3.0,4.0,1.0,13.0,5.0,4.0,0.0,7.0,7.0,0.0,0.0,1.0,14.0,3.0,0.2377,0.6069,,0.323,0.3814,0.1972,,0.2263,1.2104,,,,0.3266,1.1953,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,ACET,ACET,ACET,ACET,CH3COCH3,ACET
58.0,C3H6O,Methyl vinyl ether,NMOC_g,0.2549,,,,0.85,,,,,,,,0.1375,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C3H6O/c1-3-4-2/h3H,1H2,2H3",OLE2,OLE2,OLEP,OLEP,BIGENE,
58.0,C2H2O2,Glyoxal,NMOC_g,0.717,,,0.2353,,0.1584,,,0.0286,,,,0.3438,,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,0.1219,,0.0602,,,,,,,0.2006,,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,GLY,GLY,GLY,GLY,GLYOXAL,GLYX
59.0,C2H5NO,Acetamide,NMOC_g,,,,0.0708,1.6377,0.0101,0.0249,0.0171,0.758,,,,0.0956,,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0441,1.9034,,,,,,,,0.02,,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",ALK5,ALK5,OTH4,ALK5,BIGENE,
59.0,C3H9N,Trimethylamine,NMOC_g,0.0441,0.0104,,0.0066,0.0068,0.0014,,,0.0362,,,,0.04,0.0015,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,,,,0.0026,,0.0013,,,,,,,0.0459,,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,ALK5,ALK5,AMINS,AMINS,C3H8,
