mm,formula,compound,pollutant_category,AVG_savanna,AVG_boreal_forest,AVG_tropical_forest,AVG_temperate_forest,AVG_peat,AVG_chaparral,AVG_open_cooking,AVG_cookstove,AVG_dung_burning,AVG_charcoal_making,AVG_charcoal_burning,AVG_pasture_maintenance,AVG_crop_residue,AVG_garbage_burning,N_savanna,N_boreal_forest,N_tropical_forest,N_temperate_forest,N_peat,N_chaparral,N_open_cooking,N_cookstove,N_dung_burning,N_charcoal_making,N_charcoal_burning,N_pasture_maintenance,N_crop_residue,N_garbage_burning,STD_savanna,STD_boreal_forest,STD_tropical_forest,STD_temperate_forest,STD_peat,STD_chaparral,STD_open_cooking,STD_cookstove,STD_dung_burning,STD_charcoal_making,STD_charcoal_burning,STD_pasture_maintenance,STD_crop_residue,STD_garbage_burning,id,S07,S07T,S18B,S22,MOZT1,geos_chem_species
84.0,C5H8O,"2h-pyran, 3,4-dihydro-",NMOC_g,,0.0015,,0.0021,,,,,,,,,,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-2-4-6-5-3-1/h2,4H,1,3,5H2",OLE2,OLE2,OLEP,OLEP,BIGENE,
84.0,C5H8O,"3-penten-2-one, (e)-",NMOC_g,,0.0008,,0.0068,0.0054,,,,,,,,0.0166,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-3-4-5(2)6/h3-4H,1-2H3/b4-3+",IPRD,IPRD,LVKS,LVKS,MEK,
84.0,C5H8O,3-penten-2-one (z),NMOC_g,,0.0019,,0.0028,,,,,,,,,0.0048,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-3-4-5(2)6/h3-4H,1-2H3/b4-3-",IPRD,IPRD,LVKS,LVKS,MEK,
84.0,C5H8O,4-penten-2-one,NMOC_g,,0.0021,,0.0027,0.0023,,,,,,,,0.0031,,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-3-4-5(2)6/h3H,1,4H2,2H3",IPRD,IPRD,LVKS,LVKS,MEK,
84.0,C5H8O,2-methyl-2-butenal,NMOC_g,,0.0037,,0.012,0.0068,0.0059,,,,,,,0.0031,,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0074,,,,,,,,,,,"InChI=1S/C5H8O/c1-3-5(2)4-6/h3-4H,1-2H3/b5-3+",IPRD,IPRD,OLEA2,OLEA2,MEK,
84.0,C5H8O,2-ethylacrolein,NMOC_g,,0.0036,,0.0051,,,,,,,,,0.0033,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-3-5(2)4-6/h4H,2-3H2,1H3",IPRD,IPRD,OLEA2,OLEA2,MEK,
84.0,C5H8O,Pentenone,NMOC_g,,0.0697,,0.9514,0.0797,0.1445,0.0552,0.056,,,,,0.0694,0.6093,0.0,3.0,0.0,5.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,,0.118,,1.5911,0.1034,0.1223,,0.0324,,,,,0.074,0.7631,"InChI=1S/C5H8O/c1-3-5(6)4-2/h3H,1,4H2,2H3",IPRD,IPRD,LVKS,LVKS,MEK,
84.0,C5H8O,3-methyl-3-buten-2-one,NMOC_g,,0.0281,,0.0403,0.0376,,,,,,,,0.0287,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0089,,,,,,,,,,,"InChI=1S/C5H8O/c1-4(2)5(3)6/h1H2,2-3H3",IPRD,IPRD,LVKS,LVKS,MEK,
84.0,C5H8O,"2-butenal, 3-methyl-",NMOC_g,,0.0018,,0.0042,,,,,,,,,0.0005,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-5(2)3-4-6/h3-4H,1-2H3",IPRD,IPRD,OLEA2,OLEA2,MEK,
84.0,C5H8O,"Furan, 2,3-dihydro-5-methyl-",NMOC_g,,0.0021,,0.0052,,,,,,,,,0.0014,,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H8O/c1-5-3-2-4-6-5/h3H,2,4H2,1H3",OLE2,OLE2,OLEP,OLEP,BIGENE,
84.0,C5H8O,Cyclopentanone,NMOC_g,,0.0105,,0.1227,0.0319,0.0834,,,,,,,0.0309,,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0727,,,,,,,,,,,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,MEK,MEK,KET2,KET2,MEK,
84.0,C5H8O,C5H8O isomers,NMOC_g,,,,,,,,,,,,,0.0013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,609.811_2.244,IPRD,IPRD,LVKS,LVKS,MEK,
86.0,C6H14,N-hexane,NMOC_g,0.0205,0.0345,0.0101,0.0348,0.2174,0.0101,,0.0061,0.1032,,,,0.0078,0.1817,2.0,3.0,1.0,10.0,3.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,9.0,2.0,0.0106,0.0125,,0.0294,0.0871,0.0013,,0.0046,0.1791,,,,0.0065,0.1418,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",ALK4,ALK4,ALK4,ALK4,BIGALK,
86.0,C6H14,2-methylpentane,NMOC_g,0.016,0.0088,,0.0074,0.0771,0.003,,0.004,0.0783,,,,0.0066,0.11,1.0,2.0,0.0,7.0,3.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,1.0,,,,0.0018,0.0564,,,0.0049,0.1423,,,,0.0043,,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",ALK4,ALK4,ALK4,ALK4,BIGALK,
86.0,C6H14,3-methylpentane,NMOC_g,0.008,,,0.0061,0.0087,0.0032,,0.0029,0.06,,,,0.0068,0.157,1.0,0.0,0.0,10.0,2.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,1.0,,,,0.004,0.0008,,,0.0026,0.1078,,,,0.0007,,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3",ALK4,ALK4,ALK4,ALK4,BIGALK,
86.0,C6H14,"2,3-dimethylbutane",NMOC_g,,0.0031,,0.001,0.0706,,,0.0142,0.0541,,,,0.0002,0.0112,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,,,,,0.0924,,,0.0137,0.0886,,,,,,"InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3",ALK4,ALK4,ALK4,ALK4,BIGALK,
86.0,C6H14,"2,2-dimethylbutane",NMOC_g,,,,0.0059,,0.0,,,,,,,,,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0081,,,,,,,,,,,"InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3",ALK3,ALK3,ALK3,ALK3,BIGALK,
86.0,C5H10O,Pentanal,NMOC_g,,0.0212,,0.0121,0.0137,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",RCHO,RCHO,RCHO,RCHO,MEK,
86.0,C5H10O,2-pentanone,NMOC_g,0.1534,0.0261,0.08,0.0388,0.0341,0.0524,,,,,,0.085,0.0257,,1.0,2.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,0.0281,,0.0363,0.0301,,,,,,,,,,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",MEK,MEK,KET2,KET2,MEK,
86.0,C5H10O,2-methylbutanal,NMOC_g,,0.0074,,0.0381,0.0607,0.0422,,,,,,,0.0076,,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0346,,,,,,,,,,,"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3",RCHO,RCHO,RCHO,RCHO,MEK,
86.0,C5H10O,3-pentanone,NMOC_g,,,0.03,0.0329,,0.03,,,,,,0.038,0.0096,,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,0.0222,,,,,,,,,,,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",MEK,MEK,KET2,KET2,MEK,
86.0,C5H10O,3-methyl-2-butanone,NMOC_g,,0.0008,,0.0189,0.0427,0.0228,,,,,,,0.0108,,0.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0127,,,,,,,,,,,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3",MEK,MEK,KET2,KET2,MEK,
86.0,C5H10O,2-methyl-3-buten-2-ol,NMOC_g,,,,0.0061,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H10O/c1-4-5(2,3)6/h4,6H,1H2,2-3H3",OLE1,OLE1,OLEP,OLEP,MBO,
86.0,C5H10O,3-methylbutanal,NMOC_g,,0.0234,,0.0213,0.0967,,,,,,,,0.0124,,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0016,,,,,,,,,,,"InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3",RCHO,RCHO,RCHO,RCHO,MEK,
86.0,C4H6O2,"2,3-dihydro-1,4-dioxin",NMOC_g,,,,0.0073,,0.0049,,,,,,,,,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0073,,,,,,,,,,,"InChI=1S/C4H6O2/c1-2-6-4-3-5-1/h1-2H,3-4H2",OLE2,OLE2,OLEP,OLEP,BIGENE,
86.0,C4H6O2,"2,3-butadione",NMOC_g,0.8854,0.2276,0.73,0.6045,0.2703,0.265,0.2498,0.2619,,,,0.79,0.3825,0.159,2.0,3.0,1.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,,0.2063,,0.6868,0.1782,0.0214,,0.1407,,,,,0.3571,0.077,InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3,BACL,BACL,BACL,BACL,MEK,
86.0,C4H6O2,Methyl acrylate,NMOC_g,,0.006,,0.0169,0.0136,0.0165,,,,,,,0.0035,,0.0,2.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0189,,,,,,,,,,,"InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3",OLE1,OLE1,OLEP,OLEP,BIGENE,
86.0,C4H6O2,Vinyl acetate,NMOC_g,,0.006,,0.0038,,0.0006,,,,,,,0.4564,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,0.156,,"InChI=1S/C4H6O2/c1-3-6-4(2)5/h3H,1H2,2H3",OLE1,OLE1,OLEP,OLEP,BIGENE,
86.0,C4H6O2,Butyrolactone,NMOC_g,,,,0.0082,,,,,,,,,0.021,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,ALK3,ALK3,OTH2,ALK5,NROG,
87.0,C4H9NO,C4h9no amides,NMOC_g,0.0664,,,0.0234,0.0169,0.0046,0.0509,0.0198,0.0283,,,,0.0354,0.0111,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,,,,0.0267,0.0154,0.0058,,0.0074,,,,,0.0459,,87.06788999999999_C4H9NO,ALK5,ALK5,AMINS,AMINS,C3H6,
88.0,C4H8O2,1-hydroxy-2-butanone,NMOC_g,,,,,,,,,,,,,0.0066,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C4H8O2/c1-2-4(6)3-5/h5H,2-3H2,1H3",PRD2,PRD2,KET2,KET2,MEK,
88.0,C4H8O2,"2-butanone, 3-hydroxy-",NMOC_g,,,,,,,,,,,,,0.0051,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3",PRD2,PRD2,KET2,KET2,MEK,
88.0,C4H8O2,Methyl propanoate,NMOC_g,,0.0366,,0.037,0.0597,0.0229,,,0.1933,,,,0.1205,,0.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,0.0472,,0.053,0.0715,0.0186,,,,,,,0.1642,,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",ALK2,ALK2,OTH1,ALK4,NROG,
88.0,C4H8O2,Ethyl acetate,NMOC_g,0.11,0.0643,,0.0802,0.11,0.0312,0.0534,0.0585,,,,,0.0532,0.0364,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,0.0437,,,,,0.0746,,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",ALK2,ALK2,OTH1,ALK4,NROG,
88.0,C3H5Cl,3-chloro-1-propene,NMOC_g,,,,,,,,,,,,,0.0005,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2",ALK5,ALK5,OLEP,OLEP,NROG,
88.0,C3H4O3,Pyruvic acid,NMOC_g,,0.72,,0.0668,0.054,0.0056,,,0.0084,,,,0.0092,,0.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.1131,,0.0047,,,,,,,,,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",BACL,BACL,BACL,BACL,NROG,PYAC
89.0,C3H7NO2,Nitropropanes,NMOC_g,,,,0.0016,0.0008,0.0001,,,0.0056,,,,0.001,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0012,,,,,,,,,,,89.04716_C3H7NO2,RNO3,RNO3,R1NO3,R1NO3,ALKNIT,
89.0,C4H11NO,C4h11no amines,NMOC_g,0.0036,,,0.0004,0.0001,0.0001,,,0.0025,,,,0.0138,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,0.0192,,89.08354_C4H11NO,ALK5,ALK5,AMINS,AMINS,C3H6,
90.0,C3H6O3,Hydroperoxy acetone,NMOC_g,,,,0.086,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3",PRD2,PRD2,KET2,KET2,MEK,
90.0,C4H10S,Diethyl sulfide + butanethiol,NMOC_g,,0.077,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,90.184_C4H10S,ALK4,ALK4,OTH3,ALK6,BIGALK,
91.0,C6H5N,Ethylnylpyrrole,NMOC_g,,,,0.0057,0.0025,0.0007,,,0.0046,,,,0.0006,,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0048,,,,,,,,,,,91.0416599999999_C6H5N,ARO2,ARO2,FURNS,FURNS,XYLENES,
91.0,C2H5NO3,Ethyl nitrate,NMOC_g,0.0009,0.0012,0.0057,0.0009,,0.001,,0.0014,0.0228,,,,0.0009,,1.0,2.0,1.0,6.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,,0.0005,,0.0006,,,,0.0012,0.0319,,,,0.001,,"InChI=1S/C2H5NO3/c1-2-6-3(4)5/h2H2,1H3",RNO3,RNO3,R1NO3,R1NO3,ALKNIT,ETNO3
92.0,C7H8,"1,3,5-cycloheptatriene",NMOC_g,,0.0015,,,,,,,,,,,0.0008,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C7H8/c1-2-4-6-7-5-3-1/h1-6H,7H2",OLE2,OLE2,OLEC,OLE2,BIGENE,
92.0,C7H8,Toluene,NMOC_g,0.1728,1.535,0.26,0.4312,0.7827,0.1911,0.1778,0.1702,0.6193,,,0.1445,0.1873,0.4495,5.0,4.0,4.0,13.0,5.0,4.0,1.0,7.0,7.0,0.0,0.0,2.0,14.0,3.0,0.1493,2.3695,0.0983,0.4335,0.4709,0.1266,,0.0967,0.3399,,,0.0502,0.1194,0.3186,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",ARO1,TOLU,TOLU,TOLU,TOLUENE,TOLU
92.0,C7H8,C7H8 isomers,NMOC_g,,0.0108,,0.0066,0.0021,,,,,,,,0.0014,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,679.789_1.632,OLE2,OLE2,ACYLS,ALK5,BIGENE,
92.0,C3H8O3,Propene hydroxyperoxide,NMOC_g,0.012,,,0.0127,,0.023,,,,,,,0.0228,,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,0.0057,,,,,,,,,0.0052,,"InChI=1S/C3H8O3/c1-3(2)7-5-4-6/h3,6H,1-2H3",ALK5,ALK5,OTH4,ALK5,BIGENE,
93.0,C6H7N,"Pyridine, 3-methyl-",NMOC_g,,,,,,,,,,,,,0.0032,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",ARO2,ARO2,ARO1,ARO1,XYLENES,
93.0,C6H7N,"Pyridine, 2-methyl-",NMOC_g,,,,0.019,0.0437,,,,,,,,0.0082,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",ARO2,ARO2,ARO1,ARO1,XYLENES,
93.0,C5H3NO,2-furancarbonitrile + 3-furancarbonitrile,NMOC_g,,0.02,,0.0068,0.0195,0.0006,,,0.013,,,,0.0033,,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0029,,,,,,,,,,,93.02086_C5H3NO,ALK5,ALK5,OTH4,ALK5,BIGENE,
94.0,C7H10,Cycloheptadiene,NMOC_g,,0.0485,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C7H10/c1-2-4-6-7-5-3-1/h1-4H,5-7H2",MEK,MEK,OTH3,ALK6,BIGALK,
94.0,C7H10,C7H10 isomers,NMOC_g,,0.3408,,0.132,0.89,,,,,,,,0.089,,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,554.829_1.21,OLE2,OLE2,OLEC,OLE2,BIGENE,
94.0,C6H6O,Vinylfuran,NMOC_g,,0.0095,,0.0061,,,,,,,,,0.0052,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H6O/c1-2-6-4-3-5-7-6/h2-5H,1H2",ARO2,ARO2,FURNS,FURNS,XYLENES,
94.0,C6H6O,Phenol,NMOC_g,0.4273,1.2255,0.45,0.3534,2.4624,0.3077,1.0995,0.2345,0.7486,12.57,2.0674,2.42,0.3706,0.2551,3.0,5.0,1.0,11.0,6.0,5.0,4.0,8.0,13.0,2.0,1.0,1.0,10.0,2.0,0.3458,1.373,,0.262,2.9791,0.1707,1.4895,0.1472,0.5068,3.578,,,0.2979,0.2247,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",CRES,CRES,PHEN,PHEN,PHENOL,
94.0,C5H6N2,3-methylpyridazine,NMOC_g,,0.0097,,0.0242,,,,,,,,,0.006,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H6N2/c1-5-3-2-4-6-7-5/h2-4H,1H3",ARO2,ARO2,ARO1,ARO1,XYLENES,
94.0,C5H6N2,"Pyrazine, methyl-",NMOC_g,,,,,,,,,,,,,0.0035,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",ARO2,ARO2,ARO1,ARO1,XYLENES,
94.0,C2H6S2,Dimethyl disulfide,NMOC_g,,0.0039,,0.0033,0.004,0.0005,,,0.0038,,,,0.0028,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,ALK3,ALK3,OTH2,ALK5,NROG,
94.0,CH3Br,Methyl bromide,NMOC_g,0.0022,0.0018,0.0029,0.0018,0.016,0.0005,,0.0015,0.0053,,,0.0029,0.0017,0.0022,3.0,1.0,3.0,5.0,2.0,1.0,0.0,4.0,6.0,0.0,0.0,1.0,8.0,1.0,0.0024,,0.0024,0.0024,0.0084,,,0.0019,0.0053,,,,0.0026,,InChI=1S/CH3Br/c1-2/h1H3,NROG,NROG,NROG,NROG,NROG,CH3Br
95.0,C6H9N,C2 pyrrole,NMOC_g,,0.0021,,,,,,,,,,,0.0017,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H9N/c1-2-6-4-3-5-7-6/h3-5,7H,2H2,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
95.0,C6H9N,"1h-pyrrole, 1-ethyl-",NMOC_g,,,,0.0079,,,,,,,,,0.0025,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H9N/c1-2-7-5-3-4-6-7/h3-6H,2H2,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
95.0,C6H9N,"1h-pyrrole, 2,5-dimethyl-",NMOC_g,,,,0.0075,0.0158,,,,,,,,0.0019,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H9N/c1-5-3-4-6(2)7-5/h3-4,7H,1-2H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
95.0,C6H9N,"1h-pyrrole, 2,4-dimethyl-",NMOC_g,,,,,,,,,,,,,0.0022,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H9N/c1-5-3-6(2)7-4-5/h3-4,7H,1-2H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
95.0,C5H5NO,4-pyridinol,NMOC_g,,,,0.0162,0.034,0.0048,,,0.1085,,,,0.0104,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C5H5NO/c7-5-1-3-6-4-2-5/h1-4H,(H,6,7)",ALK5,ALK5,AMINS,AMINS,C3H6,
96.0,C6H8O,"2,4-hexadienal, (e,e)-",NMOC_g,,,,,,,,,,,,,0.0093,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8O/c1-2-3-4-5-6-7/h2-6H,1H3/b3-2+,5-4+",IPRD,IPRD,AFG1,AFG1,MEK,
96.0,C6H8O,"Furan, 3-ethyl-",NMOC_g,,0.0021,,0.0034,,,,,,,,,0.0011,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8O/c1-2-6-3-4-7-5-6/h3-5H,2H2,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
96.0,C6H8O,2-ethylfuran,NMOC_g,,0.0482,,0.026,0.0194,0.017,,,,,,,0.015,0.0159,0.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,0.0548,,0.0168,,,,,,,,,,,"InChI=1S/C6H8O/c1-2-6-4-3-5-7-6/h3-5H,2H2,1H3",ARO2,ARO2,FURNS,FURNS,XYLENES,
96.0,C6H8O,"2-cyclopenten-1-one, 3-methyl-",NMOC_g,,,,,,,,,,,,,0.0106,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8O/c1-5-2-3-6(7)4-5/h4H,2-3H2,1H3",IPRD,IPRD,LVKS,LVKS,MEK,
96.0,C6H8O,"2-cyclopenten-1-one, 2-methyl-",NMOC_g,,0.0082,,0.0296,0.0355,,,,,,,,0.0568,,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,"InChI=1S/C6H8O/c1-5-3-2-4-6(5)7/h3H,2,4H2,1H3",IPRD,IPRD,LVKS,LVKS,MEK,
